dataset,split,class,image_path,width,height,label_path,label_count
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_001_rot0.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_001_rot180.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_001_rot270.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_001_rot90.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_002_rot0.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_002_rot180.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_002_rot270.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_002_rot90.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_003_rot0.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_003_rot180.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_003_rot270.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_003_rot90.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_004_rot0.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_004_rot180.jpeg,4032,3024,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_004_rot270.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Anthracnose/Anthracnose_004_rot90.jpeg,3024,4032,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_100.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_101.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_102.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_103.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_104.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_105.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_106.jpg,415,664,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_107.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_108.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_109.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_110.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_111.jpg,664,415,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_112.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_113.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_114.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_115.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_116.jpg,600,450,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_117.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_118.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_119.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_12.jpg,450,600,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_120.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_121.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_122.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_123.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_124.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_125.jpg,1280,960,,
other,,,dataset/archive/oversample/Fruit/Brown Spot/aug_126.jpg,1280,960,,
